word index,english,hiragana,kanji,date_added,rank,sample,is_active,grade,streak,level,total_attempts,total_successes,total_fails,success_ratio,age,reset
563,to bloom,さく,咲く,28/12/2020,2,1,1,N5,7,advanced,39.0,30.0,9.0,0.7692307692307693,113,0
564,(something) closes,しまる,閉まる,28/12/2020,1,1,1,N5,7,advanced,22.0,19.0,3.0,0.8636363636363636,113,0
565,to be saved; to be helped,たすかる,助かる,28/12/2020,2,1,1,N2,7,advanced,18.0,13.0,5.0,0.7222222222222222,113,0
566,to ask (a favour),たのむ,頼む,28/12/2020,4,1,1,N5,7,advanced,29.0,21.0,8.0,0.7241379310344828,113,0
567,to make dirty,よごす,汚す,28/12/2020,2,1,1,N2,7,advanced,18.0,14.0,4.0,0.7777777777777778,113,0
568,to become dirty,よごれる,汚れる,28/12/2020,2,1,1,N4,7,advanced,17.0,16.0,1.0,0.9411764705882353,113,0
569,to place an order,ちゅうもんする,注文する,28/12/2020,3,1,1,N3,7,advanced,31.0,25.0,6.0,0.8064516129032258,113,0
570,to move (house); to change residence,ひっこす,引っ越す,28/12/2020,4,1,1,N4,7,advanced,29.0,19.0,10.0,0.6551724137931034,113,0
571,expression of gratitude,おれい,お礼,31/12/2020,1,4,1,N4,8,expert,16.0,14.0,2.0,0.875,110,0
572,keigo,けいご,敬語,31/12/2020,3,4,1,N2,8,expert,24.0,18.0,6.0,0.75,110,0
573,a kind; a sort,しゅるい,種類,02/01/2021,4,4,1,N3,6,advanced,47.0,27.0,20.0,0.574468085106383,108,0
574,lazy person,なまけもの,怠け者,02/01/2021,4,4,1,NX,7,advanced,21.0,15.0,6.0,0.7142857142857143,108,0
575,worry,なやみ,悩み,02/01/2021,3,4,1,N1,8,expert,17.0,15.0,2.0,0.8823529411764706,108,0
576,shy person,はずかしいがりや,恥ずかしいかり屋,02/01/2021,3,4,1,N4,7,advanced,18.0,15.0,3.0,0.8333333333333334,108,0
577,culture,ぶんか,文化,02/01/2021,1,4,1,N4,8,expert,21.0,18.0,3.0,0.8571428571428571,108,0
578,mistake,まちがい,間違い,05/01/2021,3,5,1,N3,9,expert,18.0,17.0,1.0,0.9444444444444444,105,0
579,be on good/close terms; to get along well,なかがいい,仲がいい,05/01/2021,2,5,1,NX,9,expert,31.0,28.0,3.0,0.9032258064516129,105,0
580,to get angry,おこる,怒る,05/01/2021,3,5,1,N4,7,advanced,45.0,37.0,8.0,0.8222222222222222,105,0
581,to get acquainted with,しりあう,知り合う,05/01/2021,2,5,1,NX,8,expert,28.0,24.0,4.0,0.8571428571428571,105,0
582,to call (one's name),よぶ,呼ぶ,05/01/2021,2,5,1,N5,7,advanced,32.0,25.0,7.0,0.78125,105,0
583,to hold back for the time being; to refrain from,えんりょする,遠慮する,06/01/2021,5,5,1,N4,7,advanced,39.0,28.0,11.0,0.717948717948718,104,0
584,to invite someone (to an event/ a place,しょうたいする,招待する,06/01/2021,3,5,1,N3,7,advanced,44.0,29.0,15.0,0.6590909090909091,104,0
585,to stop by,よる,寄る,09/01/2021,2,4,1,N4,7,advanced,29.0,21.0,8.0,0.7241379310344828,101,0
586,space alien,うちゅうじん,宇宙人,09/01/2021,3,4,1,NX,7,advanced,22.0,16.0,6.0,0.7272727272727273,101,0
587,corner,かど,角,09/01/2021,1,4,1,N1,6,advanced,19.0,14.0,5.0,0.7368421052631579,101,0
588,hobby; pastime,しゅみ,趣味,09/01/2021,5,4,1,N4,6,advanced,37.0,27.0,10.0,0.7297297297297297,101,0
589,novel,しょうせつ,小説,09/01/2021,3,4,1,N4,7,advanced,21.0,14.0,7.0,0.6666666666666666,101,0
590,traffic light,しんごう,信号,10/01/2021,3,5,1,N3,6,advanced,32.0,24.0,8.0,0.75,100,0
591,fan,せんす,扇子,10/01/2021,5,5,1,N2,8,expert,17.0,15.0,2.0,0.8823529411764706,100,0
592,heavy;serious,おもい,重い,10/01/2021,2,5,1,N5,8,expert,12.0,12.0,0.0,1.0,100,0
593,light(weight),かるい,軽い,10/01/2021,3,5,1,N5,8,expert,18.0,17.0,1.0,0.9444444444444444,100,0
594,honorific expression for ねる,おやすみになる,お休みになる,10/01/2021,2,5,1,N2,8,expert,19.0,17.0,2.0,0.8947368421052632,100,0
595,question; inquiry,しつもん,質問,16/01/2021,3,4,1,N5,8,expert,18.0,18.0,0.0,1.0,94,0
596,extra modest expression for いくand くる,まいる,参る,01/02/2021,5,5,1,N4,6,advanced,30.0,22.0,8.0,0.7333333333333333,78,0
597,to turn (right/left),まがる,曲がる,01/02/2021,2,4,1,N5,7,advanced,23.0,20.0,3.0,0.8695652173913043,78,0
598,extra modest expression for いう,もうす,申す,01/02/2021,1,5,1,N4,8,expert,15.0,14.0,1.0,0.9333333333333333,78,0
599,to be audible,きこえる,聞こえる,01/02/2021,1,4,1,N4,8,expert,11.0,11.0,0.0,1.0,78,0
600,humble expression for あげる,さしあげる,差し上げる,01/02/2021,4,5,1,N4,7,advanced,23.0,17.0,6.0,0.7391304347826086,78,0
601,to keep someone waiting,またせる,待たせる,01/02/2021,3,4,1,NX,8,expert,21.0,20.0,1.0,0.9523809523809523,78,0
602,to exchange (X とYを),こうかんする,交換する,01/02/2021,5,5,1,N3,6,advanced,38.0,25.0,13.0,0.6578947368421053,78,0
603,to lead a life,せいかつする,生活する,08/02/2021,3,4,1,N4,8,expert,12.0,12.0,0.0,1.0,71,0
604,to return (merchandise),へんぴんする,返品する,08/02/2021,4,5,1,NX,5,advanced,39.0,25.0,14.0,0.6410256410256411,71,0
605,th floor,〜かい,〜階,08/02/2021,3,4,1,N1,6,advanced,18.0,15.0,3.0,0.8333333333333334,71,0
606,a few seconds,しょうしょう,少々,08/02/2021,2,5,1,N3,6,advanced,21.0,17.0,4.0,0.8095238095238095,71,0
607,you have my apologies,もうしわけありません,申し訳ありません,08/02/2021,2,4,1,NX,7,advanced,23.0,19.0,4.0,0.8260869565217391,71,0
608,mosquito,か,蚊,17/02/2021,2,5,1,N2,5,advanced,20.0,15.0,5.0,0.75,62,0
609,business meeting; conference,かいぎ,会議,17/02/2021,5,4,1,N4,6,advanced,25.0,20.0,5.0,0.8,62,0
610,environment,かんきょう,環境,17/02/2021,5,5,1,N3,6,advanced,31.0,19.0,12.0,0.6129032258064516,62,0
611,factory,こうじょう,工場,17/02/2021,3,4,1,N4,7,advanced,20.0,16.0,4.0,0.8,62,0
612,last train,しゅうでん,終電,17/02/2021,3,5,1,NX,7,advanced,23.0,21.0,2.0,0.9130434782608695,62,0
613,report,ほうこく,報告,21/02/2021,3,4,1,N3,7,advanced,16.0,12.0,4.0,0.75,58,0
614,to have calmed down,おちついた,落ち着いた,23/02/2021,3,5,1,NX,7,advanced,19.0,17.0,2.0,0.8947368421052632,56,0
615,to lock the door,かぎをかける,鍵をかける,23/02/2021,5,4,1,NX,6,advanced,23.0,18.0,5.0,0.782608695652174,56,0
616,inconvenient (casual),ふべん,不便,23/02/2021,2,5,1,N4,7,advanced,18.0,16.0,2.0,0.8888888888888888,56,0
617,to lose,なくす,無くす,23/02/2021,2,4,1,N5,7,advanced,18.0,16.0,2.0,0.8888888888888888,56,0
618,government,せいふ,政府,28/02/2021,2,5,1,N3,6,advanced,27.0,23.0,4.0,0.8518518518518519,51,0
619,colleague,どうりょう,同僚,28/02/2021,4,4,1,N3,5,advanced,20.0,16.0,4.0,0.8,51,0
620,thief;burglar,どろぼう,泥棒,03/03/2021,5,5,1,N4,5,advanced,36.0,20.0,16.0,0.5555555555555556,48,0
621,criminal,はんにん,犯人,03/03/2021,2,4,1,N3,6,advanced,19.0,16.0,3.0,0.8421052631578947,48,0
622,complaint,もんく,文句,03/03/2021,1,5,1,N3,7,advanced,24.0,19.0,5.0,0.7916666666666666,48,0
623,absence;not at home,るす,留守,03/03/2021,3,4,1,N4,5,advanced,13.0,8.0,5.0,0.6153846153846154,48,0
624,far (away),とおい,遠い,03/03/2021,3,4,1,N5,7,advanced,13.0,13.0,0.0,1.0,48,0
625,safe,あんぜん,安全,03/03/2021,2,5,1,N4,7,advanced,12.0,11.0,1.0,0.9166666666666666,48,0
626,precious;valuable,たいせつ,大切,03/03/2021,1,4,1,N5,7,advanced,15.0,15.0,0.0,1.0,48,0
627,to notice,きがつく,気が付く,03/03/2021,2,5,1,NX,6,advanced,29.0,22.0,7.0,0.7586206896551724,48,0
