grade
N5
N4
N3
N5
N5
NX
N4
N4
NX
N3
N5
N3
N3
N3
N5
N5
NX
NX
N4
N3
N4
N5
N5
N4
N5
N3
N4
NX
N5
N5
N3
N3
N4
N4
N5
N5
N2
NX
N5
N5
N2
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
N4
N5
N3
N4
N5
N4
NX
N3
N5
N5
N5
N3
N3
N5
N3
NX
N4
N2
N4
N3
NX
N5
N3
N4
NX
N4
N1
N5
N4
N5
N5
N2
N5
N5
N3
N5
N4
N3
N4
N2
N3
N2
N5
N1
N4
N3
NX
N4
N2
NX
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
N3
N4
N4
N5
N5
N5
N5
N5
N3
N4
N5
N5
NX
N5
NX
N4
N4
N5
N5
N5
NX
N5
NX
NX
N5
N5
N5
N3
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
NX
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
N3
N5
N5
N5
N5
NX
N5
N5
N5
N5
N4
N5
N5
NX
N5
N4
N5
N5
N5
N5
N5
N5
N5
N5
NX
NX
NX
N1
N5
N5
N5
N5
N5
N5
N5
N5
N4
N5
N5
N5
NX
NX
N5
N5
N5
NX
N5
N5
N4
NX
N5
N5
N1
N4
N5
N5
N4
N5
NX
N5
N5
N1
N5
N5
NX
NX
N4
N3
N5
N5
N5
N2
N4
N5
N2
N5
N5
N5
N4
N2
N3
N5
N4
N5
N4
N5
N5
N4
N5
N2
N4
N5
N5
N5
N5
N3
N5
N3
N5
N2
N2
NX
N2
NX
NX
N3
N1
N5
NX
N1
N4
N4
N4
N1
N3
N4
N5
N3
N3
N2
NX
N5
N2
N1
N3
N5
N4
N2
N5
N2
N4
NX
N1
N3
N4
N3
N1
N4
N5
NX
N4
NX
N3
N2
N2
NX
N4
N4
N4
N4
N5
N1
N3
NX
N4
N4
N4
N5
N5
N5
N4
N4
N4
N4
N4
N5
NX
NX
N2
N2
NX
N5
N5
N5
NX
N3
N4
N4
N4
N4
N3
N5
N5
N5
N5
N5
N3
N3
NX
N5
N2
N3
NX
N3
NX
N5
N3
N5
N5
N3
N4
N5
N4
N4
N5
N4
N3
N5
N5
N5
N5
N5
N4
NX
N5
N5
N5
N5
NX
NX
N4
N4
NX
N4
N4
N3
N3
N2
N5
N3
N4
N4
N5
N1
N4
N5
NX
N5
N4
NX
N1
N3
N1
N5
NX
N5
NX
NX
N5
N5
N5
NX
NX
NX
N5
N5
N5
N3
N4
N5
N5
N5
N3
NX
N1
N5
NX
N1
N5
N4
N3
N5
N4
N2
N3
N3
N1
N3
NX
N4
N4
N4
NX
N3
N4
N4
N5
N3
N3
N3
N3
N4
NX
N1
N5
NX
N5
N4
N3
N3
N4
NX
N5
N4
N4
N4
N4
N4
NX
N3
N5
N4
N3
NX
N4
N4
N3
NX
N4
N3
N3
N1
N4
N4
NX
N4
NX
NX
N1
N5
N3
N4
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
N5
N1
N5
N4
NX
N4
NX
N2
N4
N4
N1
N3
N4
NX
NX
N4
NX
N3
NX
N3
N3
N3
NX
NX
N4
N3
N5
N5
N4
N3
N4
N5
NX
N3
NX
N4
N5
NX
N3
N5
N5
N5
N4
N4
N5
N4
N3
N3
N4
N4
N5
N4
N5
N5
N2
N5
N2
N4
N3
N4
N4
N2
N3
NX
N1
N4
N4
N3
NX
N4
NX
N5
N4
N3
N4
NX
N1
N4
N4
N3
N2
N5
N5
N2
N5
N4
N5
N4
N4
N4
NX
N3
N4
NX
N1
N3
NX
N2
N4
N3
N4
NX
N3
NX
NX
N4
N5
N3
N3
N4
N3
N3
N4
N5
N4
N5
NX
N2
N4
N3
N4
N2
N4
N5
NX
N3
N4
N3
N3
NX
N3
N4
NX
N4
N4
N2
N4
N4
N3
N4
N3
N4
NX
N4
N2
N3
N4
N3
N4
NX
