index_word,streak,date,sample_x,english,hiragana,kanji,date_added,rank,sample_y,is_active
123,10,03/12/2020,1,weather forecast,てんきよほう,天気予報,29/05/2020,3,1,0
124,6,04/08/2020,1,hat,ぼうし,帽子,29/05/2020,2,1,1
124,7,18/08/2020,1,hat,ぼうし,帽子,29/05/2020,2,1,1
124,6,18/09/2020,1,hat,ぼうし,帽子,29/05/2020,2,1,1
124,6,02/10/2020,1,hat,ぼうし,帽子,29/05/2020,2,1,1
124,7,18/10/2020,1,hat,ぼうし,帽子,29/05/2020,2,1,1
124,8,18/11/2020,1,hat,ぼうし,帽子,29/05/2020,2,1,1
124,9,19/12/2020,1,hat,ぼうし,帽子,29/05/2020,2,1,1
130,3,04/08/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,2,08/08/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,3,10/08/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,4,14/08/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,4,21/08/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,5,29/08/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,4,12/09/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,3,19/09/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,2,23/09/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,3,25/09/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,2,29/09/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,3,01/10/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,4,05/10/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,3,12/10/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,4,17/10/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,5,24/10/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,5,08/11/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,6,22/11/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
130,7,06/12/2020,1,research,けんきゅう,研究,31/05/2020,4,1,1
142,4,04/08/2020,1,postal stamps,きって,切手,01/06/2020,2,1,1
142,5,11/08/2020,1,postal stamps,きって,切手,01/06/2020,2,1,1
142,5,25/08/2020,1,postal stamps,きって,切手,01/06/2020,2,1,1
142,4,08/09/2020,1,postal stamps,きって,切手,01/06/2020,2,1,1
142,5,15/09/2020,1,postal stamps,きって,切手,01/06/2020,2,1,1
142,6,29/09/2020,1,postal stamps,きって,切手,01/06/2020,2,1,1
142,7,13/10/2020,1,postal stamps,きって,切手,01/06/2020,2,1,1
142,8,14/11/2020,1,postal stamps,きって,切手,01/06/2020,2,1,1
142,9,15/12/2020,1,postal stamps,きって,切手,01/06/2020,2,1,1
168,4,04/08/2020,1,quiet,しずか,静か,06/06/2020,4,1,1
168,4,11/08/2020,1,quiet,しずか,静か,06/06/2020,4,1,1
168,5,18/08/2020,1,quiet,しずか,静か,06/06/2020,4,1,1
168,5,01/09/2020,1,quiet,しずか,静か,06/06/2020,4,1,1
168,6,15/09/2020,1,quiet,しずか,静か,06/06/2020,4,1,1
168,6,29/09/2020,1,quiet,しずか,静か,06/06/2020,4,1,1
168,5,13/10/2020,1,quiet,しずか,静か,06/06/2020,4,1,1
168,5,27/10/2020,1,quiet,しずか,静か,06/06/2020,4,1,1
168,4,10/11/2020,1,quiet,しずか,静か,06/06/2020,4,1,1
168,5,17/11/2020,1,quiet,しずか,静か,06/06/2020,4,1,1
168,6,01/12/2020,1,quiet,しずか,静か,06/06/2020,4,1,1
168,7,15/12/2020,1,quiet,しずか,静か,06/06/2020,4,1,1
191,4,04/08/2020,1,to forget; to leave behind,わすれる,忘れる,13/06/2020,3,1,1
191,5,11/08/2020,1,to forget; to leave behind,わすれる,忘れる,13/06/2020,3,1,1
191,6,25/08/2020,1,to forget; to leave behind,わすれる,忘れる,13/06/2020,3,1,1
191,7,09/09/2020,1,to forget; to leave behind,わすれる,忘れる,13/06/2020,3,1,1
191,6,10/10/2020,1,to forget; to leave behind,わすれる,忘れる,13/06/2020,3,1,1
191,7,24/10/2020,1,to forget; to leave behind,わすれる,忘れる,13/06/2020,3,1,1
191,8,24/11/2020,1,to forget; to leave behind,わすれる,忘れる,13/06/2020,3,1,1
191,7,25/12/2020,1,to forget; to leave behind,わすれる,忘れる,13/06/2020,3,1,1
199,7,04/08/2020,1,older sister,あね,姉,13/06/2020,1,1,1
199,7,04/09/2020,1,older sister,あね,姉,13/06/2020,1,1,1
199,8,05/10/2020,1,older sister,あね,姉,13/06/2020,1,1,1
199,8,05/11/2020,1,older sister,あね,姉,13/06/2020,1,1,1
199,7,06/12/2020,1,older sister,あね,姉,13/06/2020,1,1,1
240,5,04/08/2020,1,cheers!,かんぱい,乾杯,19/06/2020,3,1,1
240,6,18/08/2020,1,cheers!,かんぱい,乾杯,19/06/2020,3,1,1
240,7,01/09/2020,1,cheers!,かんぱい,乾杯,19/06/2020,3,1,1
240,6,02/10/2020,1,cheers!,かんぱい,乾杯,19/06/2020,3,1,1
240,5,17/10/2020,1,cheers!,かんぱい,乾杯,19/06/2020,3,1,1
240,4,31/10/2020,1,cheers!,かんぱい,乾杯,19/06/2020,3,1,1
240,4,08/11/2020,1,cheers!,かんぱい,乾杯,19/06/2020,3,1,1
240,5,15/11/2020,1,cheers!,かんぱい,乾杯,19/06/2020,3,1,1
240,4,30/11/2020,1,cheers!,かんぱい,乾杯,19/06/2020,3,1,1
240,5,07/12/2020,1,cheers!,かんぱい,乾杯,19/06/2020,3,1,1
240,6,21/12/2020,1,cheers!,かんぱい,乾杯,19/06/2020,3,1,1
240,7,02/01/2021,1,cheers!,かんぱい,乾杯,19/06/2020,3,1,1
244,7,04/08/2020,1,medicine,くすり,薬,19/06/2020,2,1,0
244,8,04/09/2020,1,medicine,くすり,薬,19/06/2020,2,1,0
244,9,05/10/2020,1,medicine,くすり,薬,19/06/2020,2,1,0
244,10,05/11/2020,1,medicine,くすり,薬,19/06/2020,2,1,0
249,5,04/08/2020,1,word,たんご,単語,19/06/2020,3,1,0
249,6,18/08/2020,1,word,たんご,単語,19/06/2020,3,1,0
249,7,01/09/2020,1,word,たんご,単語,19/06/2020,3,1,0
249,8,02/10/2020,1,word,たんご,単語,19/06/2020,3,1,0
249,9,02/11/2020,1,word,たんご,単語,19/06/2020,3,1,0
249,10,03/12/2020,1,word,たんご,単語,19/06/2020,3,1,0
251,7,04/08/2020,1,lonely,さびしい,寂しい,19/06/2020,3,1,1
251,8,04/09/2020,1,lonely,さびしい,寂しい,19/06/2020,3,1,1
251,7,05/10/2020,1,lonely,さびしい,寂しい,19/06/2020,3,1,1
251,7,05/11/2020,1,lonely,さびしい,寂しい,19/06/2020,3,1,1
251,8,06/12/2020,1,lonely,さびしい,寂しい,19/06/2020,3,1,1
257,7,04/08/2020,1,sometimes,ときどき,時々,21/06/2020,3,1,0
257,8,04/09/2020,1,sometimes,ときどき,時々,21/06/2020,3,1,0
257,9,05/10/2020,1,sometimes,ときどき,時々,21/06/2020,3,1,0
257,10,05/11/2020,1,sometimes,ときどき,時々,21/06/2020,3,1,0
261,6,04/08/2020,1,(something) starts,はじまる,始まる,22/06/2020,3,1,1
261,7,18/08/2020,1,(something) starts,はじまる,始まる,22/06/2020,3,1,1
261,7,18/09/2020,1,(something) starts,はじまる,始まる,22/06/2020,3,1,1
261,8,19/10/2020,1,(something) starts,はじまる,始まる,22/06/2020,3,1,1
261,7,19/11/2020,1,(something) starts,はじまる,始まる,22/06/2020,3,1,1
261,0,21/12/2020,1,(something) starts,はじまる,始まる,22/06/2020,3,1,1
261,1,28/12/2020,1,(something) starts,はじまる,始まる,22/06/2020,3,1,1
261,2,29/12/2020,1,(something) starts,はじまる,始まる,22/06/2020,3,1,1
261,3,31/12/2020,1,(something) starts,はじまる,始まる,22/06/2020,3,1,1
262,7,04/08/2020,1,to play (string instrument or piano),ひく,弾く,22/06/2020,3,1,1
262,6,04/09/2020,1,to play (string instrument or piano),ひく,弾く,22/06/2020,3,1,1
262,7,18/09/2020,1,to play (string instrument or piano),ひく,弾く,22/06/2020,3,1,1
262,6,19/10/2020,1,to play (string instrument or piano),ひく,弾く,22/06/2020,3,1,1
262,7,02/11/2020,1,to play (string instrument or piano),ひく,弾く,22/06/2020,3,1,1
262,6,03/12/2020,1,to play (string instrument or piano),ひく,弾く,22/06/2020,3,1,1
262,7,17/12/2020,1,to play (string instrument or piano),ひく,弾く,22/06/2020,3,1,1
263,7,04/08/2020,1,to memorize,おぼえる,覚える,22/06/2020,3,1,0
263,8,04/09/2020,1,to memorize,おぼえる,覚える,22/06/2020,3,1,0
263,9,05/10/2020,1,to memorize,おぼえる,覚える,22/06/2020,3,1,0
263,10,05/11/2020,1,to memorize,おぼえる,覚える,22/06/2020,3,1,0
286,5,04/08/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
286,4,18/08/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
286,3,25/08/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
286,4,29/08/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
286,3,05/09/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
286,2,09/09/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
286,1,12/09/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
286,2,13/09/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
286,3,15/09/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
286,4,19/09/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
286,5,26/09/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
286,6,10/10/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
286,6,24/10/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
286,7,08/11/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
286,8,09/12/2020,1,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
324,4,04/08/2020,1,gloves,てぶくろ,手袋,11/07/2020,4,1,1
324,5,11/08/2020,1,gloves,てぶくろ,手袋,11/07/2020,4,1,1
324,5,25/08/2020,1,gloves,てぶくろ,手袋,11/07/2020,4,1,1
324,4,08/09/2020,1,gloves,てぶくろ,手袋,11/07/2020,4,1,1
324,5,15/09/2020,1,gloves,てぶくろ,手袋,11/07/2020,4,1,1
324,5,29/09/2020,1,gloves,てぶくろ,手袋,11/07/2020,4,1,1
324,6,13/10/2020,1,gloves,てぶくろ,手袋,11/07/2020,4,1,1
324,7,27/10/2020,1,gloves,てぶくろ,手袋,11/07/2020,4,1,1
324,8,28/11/2020,1,gloves,てぶくろ,手袋,11/07/2020,4,1,1
324,8,29/12/2020,1,gloves,てぶくろ,手袋,11/07/2020,4,1,1
327,5,04/08/2020,1,cool (weather),すずしい,涼しい,13/07/2020,2,1,1
327,4,18/08/2020,1,cool (weather),すずしい,涼しい,13/07/2020,2,1,1
327,4,25/08/2020,1,cool (weather),すずしい,涼しい,13/07/2020,2,1,1
327,5,01/09/2020,1,cool (weather),すずしい,涼しい,13/07/2020,2,1,1
327,6,15/09/2020,1,cool (weather),すずしい,涼しい,13/07/2020,2,1,1
327,7,29/09/2020,1,cool (weather),すずしい,涼しい,13/07/2020,2,1,1
327,8,31/10/2020,1,cool (weather),すずしい,涼しい,13/07/2020,2,1,1
327,7,01/12/2020,1,cool (weather),すずしい,涼しい,13/07/2020,2,1,1
327,6,02/01/2021,1,cool (weather),すずしい,涼しい,13/07/2020,2,1,1
328,5,04/08/2020,1,cold (thing/person),つめたい,冷たい,13/07/2020,2,1,0
328,5,18/08/2020,1,cold (thing/person),つめたい,冷たい,13/07/2020,2,1,0
328,6,01/09/2020,1,cold (thing/person),つめたい,冷たい,13/07/2020,2,1,0
328,7,15/09/2020,1,cold (thing/person),つめたい,冷たい,13/07/2020,2,1,0
328,8,17/10/2020,1,cold (thing/person),つめたい,冷たい,13/07/2020,2,1,0
328,9,17/11/2020,1,cold (thing/person),つめたい,冷たい,13/07/2020,2,1,0
328,10,18/12/2020,1,cold (thing/person),つめたい,冷たい,13/07/2020,2,1,0
329,4,04/08/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,4,11/08/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,3,18/08/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,4,22/08/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,5,29/08/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,6,12/09/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,5,26/09/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,4,10/10/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,3,17/10/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,4,21/10/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,3,29/10/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,4,02/11/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,5,09/11/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,6,23/11/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,5,07/12/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,6,21/12/2020,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
329,7,02/01/2021,1,sleepy,ねむい,眠い,13/07/2020,2,1,1
336,5,04/08/2020,1,reserved seating,していせき,指定席,15/07/2020,5,1,1
336,6,18/08/2020,1,reserved seating,していせき,指定席,15/07/2020,5,1,1
336,5,01/09/2020,1,reserved seating,していせき,指定席,15/07/2020,5,1,1
336,6,15/09/2020,1,reserved seating,していせき,指定席,15/07/2020,5,1,1
336,5,29/09/2020,1,reserved seating,していせき,指定席,15/07/2020,5,1,1
336,5,13/10/2020,1,reserved seating,していせき,指定席,15/07/2020,5,1,1
336,5,27/10/2020,1,reserved seating,していせき,指定席,15/07/2020,5,1,1
336,6,10/11/2020,1,reserved seating,していせき,指定席,15/07/2020,5,1,1
336,7,24/11/2020,1,reserved seating,していせき,指定席,15/07/2020,5,1,1
336,7,26/12/2020,1,reserved seating,していせき,指定席,15/07/2020,5,1,1
349,5,04/08/2020,1,to own (a pet),かう,飼う,18/07/2020,3,1,0
349,6,18/08/2020,1,to own (a pet),かう,飼う,18/07/2020,3,1,0
349,7,01/09/2020,1,to own (a pet),かう,飼う,18/07/2020,3,1,0
349,8,02/10/2020,1,to own (a pet),かう,飼う,18/07/2020,3,1,0
349,9,02/11/2020,1,to own (a pet),かう,飼う,18/07/2020,3,1,0
349,10,03/12/2020,1,to own (a pet),かう,飼う,18/07/2020,3,1,0
364,1,04/08/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,2,05/08/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,1,07/08/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,2,08/08/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,3,10/08/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,4,14/08/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,5,21/08/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,4,04/09/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,5,12/09/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,6,26/09/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,7,11/10/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,6,11/11/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,5,25/11/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,4,09/12/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,5,16/12/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
364,4,28/12/2020,1,vegetables,やさい,野菜,22/07/2020,4,1,1
366,4,04/08/2020,1,meaning,いみ,意味,22/07/2020,3,1,0
366,5,11/08/2020,1,meaning,いみ,意味,22/07/2020,3,1,0
366,6,25/08/2020,1,meaning,いみ,意味,22/07/2020,3,1,0
366,7,09/09/2020,1,meaning,いみ,意味,22/07/2020,3,1,0
366,8,10/10/2020,1,meaning,いみ,意味,22/07/2020,3,1,0
